id,full_name,weight_class_description,elo,fight_count
669,Rick Story,Welterweight,1123,20
670,Hiroyuki Abe,,1000,1
671,Daniel Acacio,,1000,1
672,Olaf Alfonso,Welterweight,1000,1
673,Bertrand Amoussou,,1000,1
676,Shinya Aoki,,1000,1
677,Kenji Arai,,1000,1
678,Ricardo Arona,,1000,1
679,Chalid Arrab,,1000,1
680,Gilles Arsene,,1000,1
681,Bazigit Atajev,,1000,1
682,Luiz Azeredo,,1000,1
683,Luciano Azevedo,,1000,1
684,Mike Polchlopek,,1000,1
685,Mike Bencic,,1000,1
686,Charles Bennett,,1000,1
688,Igor Borisov,,1000,1
689,Gregory Bouchelaghem,,1000,1
690,Mike Bourke,,1000,1
691,Francisco Bueno,,1000,1
692,Dos Caras Jr.,,1000,1
693,Tim Catalfo,,1000,1
694,Mu Bae Choi,,1000,1
695,Murad Chunkaiev,,1000,1
696,Branko Cikatic,,1000,1
697,Jadson Costa,,1000,1
698,Johil de Oliveira,,1000,1
699,Cyrille Diabate,Light Heavyweight,1007,9
700,John Dixson,,1000,1
701,Edson Drago,,1000,1
702,Hugo Duarte,Heavyweight,979,2
703,Jon Olav Einemo,Heavyweight,956,3
704,Aleksander Emelianenko,,1000,1
705,Fedor Emelianenko,,1000,1
706,Won Jin Eoh,,1000,1
707,Tom Erikson,,1000,1
708,Eric Esch,,1000,1
709,Rodney Faverus,,1000,1
710,Paulo Filho,,1000,1
711,Brady Fink,,1000,1
712,Luiz Firmino,,1000,1
713,Mal Foki,,1000,1
714,Matt Foki,,1000,1
715,Clay French,,1000,1
716,Kazuyuki Fujita,,1000,1
717,Travis Galbraith,,1000,1
718,Zelg Galesic,,1000,1
719,Rulon Gardner,,1000,1
721,Takanori Gomi,Lightweight,970,14
722,Crosley Gracie,,1000,1
723,Daniel Gracie,,1000,1
724,Ralph Gracie,,1000,1
725,Renzo Gracie,Welterweight,992,2
726,Rickson Gracie,,1000,1
727,Rodrigo Gracie,,1000,1
728,Royler Gracie,,1000,1
729,Ryan Gracie,,1000,1
730,Kazuhiro Hamanaka,,1000,1
731,Joachim Hansen,,1000,1
732,Tomohiko Hashimoto,,1000,1
733,Hatsu Hioki,Featherweight,976,9
735,Mark Hunt,Heavyweight,1045,19
736,Sergey Ignatov,,1000,1
737,Seichi Ikemoto,,1000,1
738,Mikhail Iloukhine,,1000,1
739,Yusuke Imamura,,1000,1
740,Masakazu Imanari,,1000,1
741,Egan Inoue,,1000,1
742,Jason Ireland,,1000,1
743,Mitsuhiro Ishida,,1000,1
744,Yuki Ishikawa,,1000,1
745,Tokimitsu Ishizawa,,1000,1
746,Tatsuya Iwasaki,,1000,1
747,Nathan Jones,,1000,1
748,Hiromitsu Kanehara,,1000,1
749,Ken Kaneko,,1000,1
750,Tatsuya Kawajiri,Featherweight,1039,7
751,Sergei Kharitonov,,1000,1
752,Jin Oh Kim,,1000,1
753,Dae Won Kim,,1000,1
758,Andrei Kopylov,,1000,1
759,Iouri Kotchkine,,1000,1
760,Eldari Kurtanidze,,1000,1
761,Achmed Labasanov,,1000,1
762,Jose Landi-Jons,,1000,1
763,Eun Soo Lee,,1000,1
764,Tae Hyun Lee,,1000,1
765,Stefan Leko,,1000,1
766,Jean Francois Lenogue,,1000,1
767,Brian Lo-A-Njoe,,1000,1
768,Hector Lombard,Welterweight,989,13
769,Alexandru Lungu,,1000,1
770,Yoshiro Maeda,,1000,1
771,Ibragim Magomedov,,1000,1
772,Aliev Makhmud,,1000,1
773,Carl Malenko,,1000,1
774,Cristiano Marcello,Lightweight,954,5
775,Wagner da Conceicao Martins,,1000,1
776,Daijiro Matsui,,1000,1
777,Naoki Matsushita,,1000,1
778,Gilbert Melendez,Lightweight,957,8
779,Fabio Mello,,1000,1
780,Henry Miller,,1000,1
781,Kazuo Misaki,Welterweight,1000,1
783,Eiji Mitsuoka,Featherweight,964,3
784,Ricardo Morais,,1000,1
785,Juan Mott,,1000,1
786,Gegard Mousasi,Middleweight,1138,13
787,Kazunari Murakami,,1000,1
788,Ryuichi Murata,,1000,1
790,Daisuke Nakamura,,1000,1
791,Yoshihiro Nakao,,1000,1
792,Yasuhito Namekawa,,1000,1
793,Pawel Nastula,,1000,1
794,Hans Nijman,,1000,1
795,Soichi Nishida,,1000,1
796,Yosuke Nishijima,,1000,1
797,Rogerio Nogueira,Light Heavyweight,1020,14
798,Jan Nortje,,1000,1
799,Takahiro Oba,,1000,1
800,Nobuhiro Obiya,,1000,1
801,Takayuki Okada,,1000,1
802,Naoya Ogawa,,1000,1
803,Sean O'Haire,,1000,1
804,Michiyoshi Ohara,,1000,1
805,Kazuki Okubo,,1000,1
806,Pedro Otavio,,1000,1
807,Alexander Otsuka,,1000,1
808,Alistair Overeem,Heavyweight,1103,21
809,Valentijn Overeem,,1000,1
810,Shungo Oyama,,1000,1
811,Larry Parker,,1000,1
812,Joe Pearson,,1000,1
813,Willie Peeters,,1000,1
814,Cory Peterson,,1000,1
815,Amir Rahnavardi,,1000,1
816,Raou Raou,,1000,1
817,John Renken,,1000,1
818,Herman Renting,,1000,1
819,Shannon Ritch,,1000,1
820,Murilo Rua,,1000,1
821,Mike Russow,Heavyweight,1080,7
822,Wataru Sakata,,1000,1
823,Ryuta Sakurai,,1000,1
824,Evangelista Santos,,1000,1
825,Bob Sapp,,1000,1
826,Kyosuke Sasaki,,1000,1
828,Masaaki Satake,,1000,1
829,Antonio Schembri,,1000,1
830,Bob Schrijber,,1000,1
831,Rony Sefo,,1000,1
832,Kim In Seok,,1000,1
833,Akira Shoji,,1000,1
834,Paulo Cesar Silva,,1000,1
835,Jean Silva,,1000,1
836,Matt Skelton,,1000,1
837,Kestutis Smirnovas,,1000,1
838,Mario Sperry,,1000,1
839,Kyle Sturgeon,,1000,1
840,Masanori Suda,,1000,1
841,Takashi Sugiura,,1000,1
843,Jason Suttie,,1000,1
844,Osamu Tachihikari,,1000,1
845,Nobuhiko Takada,,1000,1
846,Yoshihiro Takayama,,1000,1
847,Makoto Takimoto,,1000,1
848,Tsuyoshi Tamakairiki,,1000,1
849,Kiyoshi Tamura,,1000,1
850,James Thompson,,1000,1
851,Minoru Toyonaga,,1000,1
852,Ryuki Ueyama,,1000,1
853,Egidijus Valavicius,,1000,1
854,Lloyd Van Dams,,1000,1
855,Jerrel Venetiaan,,1000,1
856,Milton Vieira,Featherweight,976,3
857,Joey Villasenor,,1000,1
858,Igor Vovchanchyn,,1000,1
861,Yoshihisa Yamamoto,,1000,1
862,Tadao Yasuda,,1000,1
863,Yoshiaki Yatsu,,1000,1
864,Hirotaka Yokoi,,1000,1
865,Dong Sik Yoon,,1000,1
866,Hidehiko Yoshida,,1000,1
868,Gilbert Yvel,Heavyweight,936,4
869,Roman Zentsov,,1000,1
870,Mike Pyle,Welterweight,1000,20
871,Denis Sobolev,,1000,1
872,Tomomi Iwama,,1000,1
873,Daisuke Sugie,,1000,1
874,Andre Winner,Lightweight,963,7
875,Ross Pearson,Lightweight,1030,27
876,DaMarques Johnson,Welterweight,983,11
877,Cameron Dollar,Lightweight,977,2
878,Edgar Garcia,Welterweight,907,5
879,James Wilks,Welterweight,1003,5
880,Frank Lester,Welterweight,975,2
881,Nick Osipczak,Welterweight,982,6
882,Lee Kwan Bum,,1000,1
883,Hidetaka Monma,,1000,1
884,Kotetsu Boku,,1000,1
885,Kazuyuki Miyata,,1000,1
886,Katsuhiko Nagata,,1000,1
887,Artur Oumakhanov,,1000,1
888,Bu-Kyung Jung,,1000,1
889,Tatsuya Mizuno,,1000,1
890,Eddie Alvarez,Lightweight,1074,9
891,Andre Amado,,1000,1
892,Kultar Gill,,1000,1
893,Gesias Cavalcante,,1000,1
894,Taiei Kin,,1000,1
895,Magomed Sultanakhmedov,,1000,1
896,Jacare Souza,Middleweight,1125,17
897,Ian Murphy,,1000,1
898,Masakatsu Funaki,,1000,1
900,Andrews Nakahara,,1000,1
901,Takeshi Yamazaki,,1000,1
902,Shoji Maruyama,,1000,1
903,Katsuyori Shibata,,1000,1
904,Melvin Manhoef,,1000,1
905,Katsuya Inoue,,1000,1
906,Ralek Gracie,,1000,1
907,Alavutdin Gadjiev,,1000,1
908,Hideo Tokoro,,1000,1
909,Darren Uyenoyama,Flyweight,1016,5
910,Andy Ologun,,1000,1
911,Joseph Benavidez,Flyweight,1248,22
912,Junya Kudo,,1000,1
913,Motoki Miyazawa,,1000,1
914,Yoshihiro Akiyama,Welterweight,964,8
915,Adriano Martins,Lightweight,1060,8
916,Jimmy Ambriz,,1000,1
917,Atsushi Yamamoto,,1000,1
918,Masanori Tonooka,,1000,1
919,Todd Moore,,1000,1
920,Takafumi Otsuka,,1000,1
921,Bibiano Fernandes,Bantamweight,1000,1
922,Chase Beebe,,1000,1
923,Joe Warren,,1000,1
924,Akiyo Nishiura,,1000,1
925,Abel Cullum,,1000,1
926,David Gardner,,1000,1
927,Ross Ebanez,,1000,1
928,Micah Miller,,1000,1
929,Hiroyuki Takaya,,1000,1
930,Jong Won Kim,,1000,1
931,Vitor Ribeiro,,1000,1
932,Riki Fukuda,Middleweight,994,6
933,Daiki Hata,,1000,1
934,Andre Galvao,,1000,1
935,Marius Zaromskis,,1000,1
936,Yuya Shirai,,1000,1
937,Jason High,Lightweight,996,6
938,Hong Man Choi,,1000,1
939,Jose Canseco,,1000,1
940,Norifumi Yamamoto,Bantamweight,927,5
941,Katsunori Kikuno,Featherweight,1001,6
942,Tarec Saffiedine,Welterweight,1013,7
943,Errol Zimmerman,,1000,1
944,Yukio Sakaguchi,,1000,1
945,Akihito Tanaka,,1000,1
946,Siala Siliga,,1000,1
947,Johny Hendricks,Middleweight,1094,22
948,Jesse Lennox,Welterweight,977,4
949,Danillo Villefort,Welterweight,975,2
951,Chris Tuchscherer,Heavyweight,965,5
952,Fred Ettish,,976,2
953,Minoki Ichihara,,990,2
954,Melton Bowen,,976,2
955,Joe Pardo,Heavyweight,976,2
956,Marcelo Aguiar,Welterweight,991,2
957,Miguel Torres,Bantamweight,1003,5
958,Brian Bowles,Bantamweight,1016,5
959,Urijah Faber,Bantamweight,1070,19
960,Cole Escovedo,Bantamweight,926,4
961,Eddie Wineland,Bantamweight,947,17
962,Rob McCullough,,1000,1
963,Doug Marshall,Light Heavyweight,1000,1
964,Steve Steinbeiss,Middleweight,956,3
965,Jake Ellenberger,Welterweight,1019,22
966,Igor Pokrajac,Light Heavyweight,921,14
967,Paul Daley,Welterweight,1048,4
968,Chase Gormley,Heavyweight,950,3
969,Ben Rothwell,Heavyweight,1042,18
970,Todd Duffee,Heavyweight,1043,7
971,Yuhi Sano,,1000,1
972,Israel Albuquerque,,1000,1
973,George Allen,,1000,1
974,Angelo Antonio,,1000,1
975,Bryan Baker,,1000,1
976,Jose Barreto,,1000,1
977,Justin Bruckmann,,1000,1
978,Joe Camacho,,1000,1
979,Rafael Freitas,Flyweight,1000,1
980,Wayne Cole,,1000,1
981,Jeremiah Constant,,1000,1
982,Dave Dalgliesh,,1000,1
983,Rodrigo Gripp de Sousa,,1000,1
984,Crezio de Souza,,1000,1
985,Thomas Denny,,1000,1
986,Helio Dipp,,1000,1
987,Claudionor Fontinelle,,1000,1
988,Jesse Fujarczyk,,1000,1
989,Sergio Gomez,,1000,1
990,Sam Greco,,1000,1
991,Chuck Grigsby,,1000,1
992,Marcus Hicks,,1000,1
993,Chris Horodecki,,1000,1
994,Jaime Jara,,1000,1
995,Tetsuji Kato,,1000,1
996,Akira Kikuchi,,1000,1
997,Min Soo Kim,,1000,1
998,Stefan Klever,,1000,1
999,Rene Kronvold,,1000,1
1000,Tsuyoshi Kurihara,,1000,1
1001,Cung Le,Middleweight,1039,5
1002,Gabe Lemley,,1000,1
1003,Jae Suk Lim,,1000,1
1004,Jakob Lovstad,,1000,1
1005,Rubens Xavier,,1000,1
1006,Bobby McAndrews,,1000,1
1007,Michael McDonald,,1000,1
1008,Miika Mehmet,,1000,1
1009,Steve Mensing,,1000,1
1010,Damir Mirenic,,1000,1
1012,Andre Mussi,,1000,1
1013,Yuji Nagata,,1000,1
1014,Fabio Nascimento,,1000,1
1015,Roy Nelson,Heavyweight,1008,20
1016,Bart Palaszewski,Featherweight,967,5
1017,Bryan Pardoe,,1000,1
1018,Edson Silva,,1000,1
1019,Yan Pellerin,,1000,1
1020,Dino Pezao,,1000,1
1021,Claudio Mattos,,1000,1
1022,Philip Preece,,1000,1
1023,Ed Ratcliff,,1000,1
1024,Antony Rea,,1000,1
1025,Dennis Reed,,1000,1
1026,Kevin Ferguson,Heavyweight,1001,3
1027,Eric Smith,,1000,1
1028,Leo Sylvest,,1000,1
1029,Vitor Vianna,,1000,1
1030,Milco Voorn,,1000,1
1031,Erick Wanderlei,,1000,1
1032,Dimitiri Wanderley,,1000,1
1033,Charlie Valencia,Bantamweight,976,2
1034,Scott Jorgensen,Bantamweight,927,13
1035,Antonio Banuelos,Bantamweight,975,2
1036,Justin Robbins,,1000,1
1037,Rafael Rebello,,1000,1
1038,Manny Tapia,,1000,1
1039,Raphael Assuncao,Bantamweight,1129,20
1040,Wagnney Fabiano,Featherweight,1000,1
1041,Coty Wheeler,,1000,1
1042,Fredson Paixao,Featherweight,975,2
1043,Damacio Page,,925,4
1044,Rani Yahya,Bantamweight,1184,22
1045,Ivan Lopez,,1000,1
1046,John Franchi,,1000,1
1047,Kenji Osawa,,1000,1
1048,Alexandre Franca Nogueira,Bantamweight,1000,1
1049,Marcos Galvao,,1000,1
1050,Cub Swanson,Featherweight,1134,25
1051,Takeya Mizugaki,Bantamweight,1027,15
1052,Jose Aldo,Bantamweight,1197,22
1053,LC Davis,,1000,1
1054,Ricardo Lamas,Featherweight,1129,18
1055,Will Ribeiro,,1000,1
1056,Danny Martinez,Flyweight,977,5
1057,Dominick Cruz,Bantamweight,1120,11
1058,Mike Budnik,,1000,1
1059,Deividas Taurosevicius,,1000,1
1060,Yves Jabouin,Bantamweight,1014,11
1061,Danny Castillo,Lightweight,1056,15
1062,Rafael Dias,,1000,1
1063,Akitoshi Tamura,Lightweight,1000,1
1064,Cole Province,,1000,1
1065,Hiromitsu Miura,,1000,1
1066,Benson Henderson,Lightweight,1206,15
1067,Dave Jansen,,1000,1
1068,Mike Campbell,,1000,1
1069,Anthony Pettis,Lightweight,1120,21
1070,Shane Roller,Lightweight,989,7
1071,Kevin Knabjian,,1000,1
1072,Jameel Massouh,,1000,1
1073,Muhsin Corbbrey,,1000,1
1074,Justin Haskins,,1000,1
1075,Phil Cardella,,1000,1
1076,Donald Cerrone,Lightweight,1184,39
1077,Blas Avena,,1000,1
1078,Mike Pierce,Welterweight,1139,15
1079,Marcelo Brito,,1000,1
1080,Anthony Njokuani,Lightweight,972,9
1081,Alex Serdyukov,Welterweight,1000,1
1082,Sidney Silva,,1000,1
1083,Diego Nunes,Featherweight,1042,7
1084,Josh Grispi,Featherweight,907,5
1085,John Hosman,,1000,1
1086,Kyle Dietz,,1000,1
1087,Frank Gomez,,1000,1
1088,Noah Thomas,,1000,1
1089,Rolando Perez,,1000,1
1090,Seth Dikun,,1000,1
1091,Ian McCall,Flyweight,997,7
1092,Erik Koch,Welterweight,1031,11
1093,Javier Vazquez,Featherweight,1026,2
1094,Chris Mickle,,1000,1
1095,Jonathan Brookins,Featherweight,997,6
1096,James Krause,Welterweight,1083,14
1097,Greg McIntyre,,1000,1
1098,Kenneth Alexander,,1000,1
1099,Carlo Prater,Lightweight,988,4
1100,Dave Terrel,,1000,1
1101,Luis Santos,,1000,1
1102,David Avellan,,1000,1
1103,Jeremy Lang,,1000,1
1104,Scott Harper,,1000,1
1105,Chris Manuel,,1000,1
1106,Ryan Stonitsch,,1000,1
1107,Del Hawkins,,1000,1
1108,Chance Farrar,,1000,1
1109,Eric Schambari,,1000,1
1110,Ariel Gandulla,Middleweight,1000,1
1111,Joe Benoit,,1000,1
1112,Scott McAfee,Lightweight,1000,1
1113,Jeff Bedard,,1000,1
1114,Jeremiah Billington,,1000,1
1115,Justin McElfresh,,1000,1
1116,Fernando Gonzalez,,1000,1
1117,Sherron Leggett,,1000,1
1118,Stephen Ledbetter,,1000,1
1119,Mike French,,1000,1
1120,Craig Zellner,,1000,1
1121,Josh Smith,,1000,1
1122,Art Santore,Middleweight,1000,1
1123,Johnny Sampaio,,1000,1
1124,Brandon Foxworth,,1000,1
1125,Charlie Kohler,,1000,1
1126,Gary Padilla,,1000,1
1127,Jesse Moreng,,1000,1
1128,Scott Norton,,1000,1
1129,Tommy Lee,,1000,1
1130,Erik Apple,,1000,1
1131,Mike Joy,,1000,1
1132,Brendan Seguin,,1000,1
1133,Kyle Jensen,Welterweight,1000,1
1134,Ricardo Barros,,1000,1
1135,Brian Foster,Welterweight,1045,6
1136,Rafaello Oliveira,Lightweight,936,9
1137,Nik Lentz,Featherweight,1147,26
1138,Steve Lopez,Lightweight,954,3
1139,Alexander Gustafsson,Light Heavyweight,1088,19
1140,Jared Hamman,Middleweight,930,8
1141,Jay Silva,Middleweight,963,3
1142,Mackens Semerzier,Featherweight,1000,4
1143,Will Campuzano,Flyweight,909,5
1144,Melchor Manibusan,,1000,1
1145,Rubin Williams,,1000,1
1146,Fabricio Camoes,Lightweight,968,7
1147,Rodney Wallace,Light Heavyweight,931,4
1148,Lucio Linhares,Middleweight,966,3
1149,Ricardo Funch,Welterweight,928,5
1150,Devin Cole,,1000,1
1151,Bryan Vetell,,1000,1
1152,Chris Guillen,,1000,1
1153,Won Sik Park,,1000,1
1154,Tomoya Miyashita,,1000,1
1155,Keisuke Fujiwara,,1000,1
1156,Ho Bae Myeon,,1000,1
1157,Karen Darabedyan,,1000,1
1158,Kamal Shalorus,Lightweight,953,4
1159,Will Kerr,,1000,1
1160,Jacob Volkmann,Lightweight,1050,11
1161,Brendan Schaub,Heavyweight,1053,12
1162,Marcus Jones,Heavyweight,975,2
1163,Matt Mitrione,Heavyweight,1145,15
1164,Darrill Schoonover,Heavyweight,975,2
1165,James McSweeney,Light Heavyweight,976,4
1166,Jon Madsen,Heavyweight,1093,6
1167,Justin Wren,Heavyweight,975,2
1168,Joe Brammer,Lightweight,971,3
1169,Brett Rogers,,1000,1
1170,Brad Pickett,Bantamweight,947,15
1171,Brandon Visher,,1000,1
1172,Courtney Buck,,1000,1
1173,Chad George,,1000,1
1174,Zachary Micklewright,,1000,1
1175,John Gunderson,Lightweight,989,4
1176,Rory MacDonald,Welterweight,1132,14
1177,Mizuto Hirota,Featherweight,926,8
1178,Satoshi Ishii,,1000,1
1179,Masanori Kanehara,Bantamweight,1000,4
1180,Kazunori Yokota,,1000,1
1181,Hiroshi Izumi,,1000,1
1182,Clint Godfrey,,1000,1
1183,Anthony Morrison,Lightweight,1000,1
1184,Bryan Caraway,Bantamweight,1073,11
1185,John Salter,Middleweight,987,4
1186,Mike Guymon,Welterweight,954,5
1188,Ronys Torres,Lightweight,962,3
1189,Phil Davis,Light Heavyweight,1175,14
1190,Rolles Gracie,Heavyweight,975,2
1191,Jong Man Kim,,1000,1
1192,Bo Cantrell,,1000,1
1193,Gina Carano,Women's Bantamweight,1000,1
1194,Cristiane Justino,Women's Featherweight,1141,8
1195,Kelly Kobold,,1000,1
1196,Kaitlin Young,,1000,1
1197,Julie Kedzie,Women's Bantamweight,951,3
1198,Elaina Maxwell,,1000,1
1199,Rosi Sexton,Women's Bantamweight,950,3
1200,Tonya Evinger,Women's Bantamweight,942,4
1201,Leiticia Pestova,,1000,1
1202,Jake Shields,Welterweight,1051,9
1203,Joey Beltran,Light Heavyweight,946,11
1204,Scott Graham,,1000,1
1205,Chris Yee,,1000,1
1206,Tony Juarez,,1000,1
1207,Ray Routh,,1000,1
1208,Harris Sarmiento,,1000,1
1209,Brian Ebersole,Welterweight,1063,9
1210,Jorge Ortiz,,1000,1
1211,Mike Altman,,1000,1
1212,Daniel Puder,,1000,1
1213,Cesar Gracie,,1000,1
1214,Chris Amarante,,1000,1
1215,Clint Coronel,,1000,1
1216,Luke Stewart,,1000,1
1217,Sean Bassett,,1000,1
1218,Juan Miranda,,1000,1
1219,Bill Duvall,,1000,1
1220,Tom Tuggle,,1000,1
1221,Mike Seal,,1000,1
1222,Brian Warren,,1000,1
1223,Sam Spengler,,1000,1
1224,Mike Cook,,1000,1
1225,Philip Perez,,1000,1
1226,Casey Olson,,1000,1
1227,Frank Megallon,,1000,1
1228,Carlton Jones,,1000,1
1229,Brandon Shuey,,1000,1
1230,Bobby Sanchez,,1000,1
1231,Jeremiah Metcalf,,1000,1
1232,Eric Wray,,1000,1
1233,Anthony Ruiz,,1000,1
1234,Raul Castillo,,1000,1
1235,Anthony Figueroa,,1000,1
1236,David Smith,,1000,1
1237,Rex Richards,,1000,1
1238,Andrew Montanez,,1000,1
1239,David Barrios,,1000,1
1240,Drew Dimanlig,,1000,1
1241,Kyle Levinton,,1000,1
1242,Ruben Villareal,,1000,1
1243,Nam Phan,Bantamweight,950,9
1244,Juan Alcain,,1000,1
1245,Mario Rivera,,1000,1
1246,Alvin Cacdac,,1000,1
1247,Yohan Banks,,1000,1
1248,Billy Evangelista,,1000,1
1249,Nik Theotikos,,1000,1
1250,Isaiah Hill,,1000,1
1251,Devin Johnson,,1000,1
1252,Michelle Maher,,1000,1
1253,Chris Cariaso,Flyweight,1039,14
1254,Jose Palacios,,1000,1
1255,Andrew Valladerez,,1000,1
1256,Miguel Linares,,1000,1
1257,Seth Kleinbeck,,1000,1
1258,Nikk Covert,,1000,1
1259,Victor Valenzuela,,1000,1
1260,Ray Seraille,,1000,1
1261,Aaron Wetherspoon,,1000,1
1262,Edson Berto,,1000,1
1263,Carter Williams,,1000,1
1264,Nick Gonzalez,,1000,1
1265,Sam Liera,,1000,1
1266,Daniel McWilliams,,1000,1
1267,Eddy Millis,,1000,1
1268,Dewey Cooper,,1000,1
1269,Adam Smith,,1000,1
1270,Richard Dalton,,1000,1
1271,Ron Fields,,1000,1
1272,Jorge Masvidal,Welterweight,1112,23
1273,Matt Lee,,1000,1
1274,Adam Lynn,,1000,1
1275,Chris Drumm,,1000,1
1276,Evan Esguerra,,1000,1
1277,Alex Crispin,,1000,1
1278,Pete Sabala,,1000,1
1279,Eric Lawson,,1000,1
1280,Josh Neal,,1000,1
1281,Bryson Kamaka,,1000,1
1282,Lemont Davis,,1000,1
1283,Brian Schwartz,,1000,1
1284,Jesse Gillespie,,1000,1
1285,Adam Antolin,Flyweight,1000,1
1286,Eric Magana,,1000,1
1287,Dave Martin,,1000,1
1288,Hugo Govea,,1000,1
1289,Luke Hartwig,,1000,1
1290,Issac DeJesus,,1000,1
1291,Bobby Stack,,1000,1
1292,Jesse Jones,,1000,1
1293,Anthony Alves,,1000,1
1294,Luke Rockhold,Middleweight,1064,12
1295,Joey Armstrong,,1000,1
1296,Nathan Coy,Welterweight,989,4
1297,Dave Courchaine,,1000,1
1298,Zach Skinner,,1000,1
1299,Mike Hayes,,1000,1
1300,Lyle Beerbohm,,1000,1
1301,Mychal Clark,,1000,1
1302,Scott Shaffer,,1000,1
1303,Matt Kovacs,,1000,1
1304,Ray Perales,,1000,1
1305,Josh Bennett,,1000,1
1306,Ryan Healy,,1000,1
1307,Eddy Ellis,,1000,1
1308,Rick Roufus,,1000,1
1309,Cory Devela,,1000,1
1310,Marlon Sims,,1000,1
1311,Alexander Trevino,,1000,1
1312,Jorge Interiano,,1000,1
1313,Eric Jacob,,1000,1
1314,Travis Johnson,,1000,1
1315,Cyrillo Padilha,,1000,1
1316,Raymond Daniels,,1000,1
1317,Miesha Tate,Women's Bantamweight,1039,14
1318,Mike Davis,Featherweight,1000,1
1319,David Rasouri,,1000,1
1320,Matt Pedro,,1000,1
1321,OJ Dominguez,,1000,1
1322,Jeremy Tavares,,1000,1
1323,Eric Castile,,1000,1
1324,Gennaro Strangis,,1000,1
1325,Ryan Bastianelli,,1000,1
1326,Hussain Rasouli,,1000,1
1327,Javi Alanis,,1000,1
1328,Michael Diaz,,1000,1
1329,Chris Bostick,,1000,1
1330,Brandon Magana,,1000,1
1331,Brandon Thatch,Welterweight,979,7
1332,Kenneth Seegrist,,1000,1
1333,Jesse Juarez,,1000,1
1334,Justin Wilcox,Lightweight,1000,1
1335,Ashe Bowman,,1000,1
1336,Aaron Trujillo,,1000,1
1337,Turrell Galloway,,1000,1
1338,Eric Galvan,,1000,1
1339,Alan Gomez,,1000,1
1340,Drew Dober,Lightweight,1045,25
1341,Haven Torres,,1000,1
1342,Brett Tillis,,1000,1
1343,Jeremy Malaterre,,1000,1
1344,Jordan Goodwin,,1000,1
1345,Lumumba Sayers,,1000,1
1346,Tyler Toner,Featherweight,975,2
1347,Michelle Waterson-Gomez,Women's Strawweight,1000,16
1348,Carlos Zevallos,,1000,1
1349,Ricky Johnson,,1000,1
1350,Tyra Parker,,1000,1
1351,Andre Walker,,1000,1
1352,Donnie Liles,,1000,1
1353,Zak Bucia,,1000,1
1354,Adam Steele,,1000,1
1355,Brad Royster,,1000,1
1356,Kim Couture,,1000,1
1357,Lina Kvokov,,1000,1
1358,Kurt Osiander,,1000,1
1359,Tony Johnson,,1000,1
1360,Shingo Kohara,,1000,1
1361,James Terry,Lightweight,1000,1
1362,Brandon Michaels,,1000,1
1363,Waylon Kennell,,1000,1
1364,Buck Meredith,,1000,1
1365,Abongo Humphrey,,1000,1
1366,Hitomi Akano,,1000,1
1367,Rodrigo Damm,Lightweight,1001,8
1368,Ben Holscher,,1000,1
1369,Cody Canterbury,,1000,1
1370,Kaleo Kwan,,1000,1
1371,Thomas Diagne,,1000,1
1372,Torrance Taylor,,1000,1
1373,Chad Sutton,,1000,1
1374,Spencer Hearns,,1000,1
1375,Bao Quach,,1000,1
1376,Tito Jones,,1000,1
1377,Aaron Rosa,Light Heavyweight,977,4
1378,Lavar Johnson,Heavyweight,1021,5
1379,Carl Seumanutafa,,1000,1
1380,Sarah Kaufman,Women's Bantamweight,977,5
1381,Mike Aina,,1000,1
1382,Pat Benson,,1000,1
1383,Dave Cochran,,1000,1
1384,Lucas Lopes,,1000,1
1385,Scott Ventimiglia,,1000,1
1386,Tyron Woodley,Welterweight,1118,17
1387,Salvador Woods,,1000,1
1388,Booker DeRousse,,1000,1
1389,James Wade,,1000,1
1390,Rafael Cavalcante,Light Heavyweight,977,6
1391,Jesse Finney,,1000,1
1392,Josh Bumgarner,,1000,1
1393,Len Bentley,,1000,1
1394,Landon Showalter,,1000,1
1395,Steve Hadsel,,1000,1
1396,Taylor Roberts,,1000,1
1397,Marques Daniels,,1000,1
1398,George Stork,,1000,1
1399,Alex Zuniga,,1000,1
1400,Justin Davis,,1000,1
1401,Shayna Baszler,Women's Bantamweight,956,3
1402,Conor Heun,,1000,1
1403,Tim Kennedy,Middleweight,1049,6
1404,Scott Lighty,,1000,1
1405,David Douglas,,1000,1
1406,Dillon Smith,,1000,1
1407,Josh Pulsifer,,1000,1
1408,Levi Avera,,1000,1
1409,Daniel Cormier,Heavyweight,1189,16
1410,Ray Sefo,,1000,1
1411,Nick Gibbons,,1000,1
1412,Kenny Giddens,,1000,1
1413,Jonny Carson,,1000,1
1414,Trey Houston,,1000,1
1415,Brandon Gaines,,1000,1
1416,Paul Bradley,Welterweight,965,3
1417,Lacey Schuckman,,1000,1
1418,Jeri Sitzes,,1000,1
1419,Gary Frazier,,1000,1
1420,Thomas Longacre,,1000,1
1421,Travis Calanoc,,1000,1
1422,Zak Cummings,Middleweight,1146,15
1423,Christian Uflacker,,1000,1
1424,Jonatas Novaes,,1000,1
1425,Shamar Bailey,Lightweight,987,4
1426,Louis Taylor,Middleweight,1000,1
1427,Nate Moore,,1000,1
1428,Dustin Neace,Featherweight,975,2
1429,Marloes Coenen,,1000,1
1430,Roxanne Modafferi,Women's Flyweight,926,13
1431,Antonio Silva,Heavyweight,989,12
