id,full_name,weight_class_description,elo,fight_count
158,Nate Quarry,Middleweight,1097,11
159,Houston Alexander,Light Heavyweight,965,7
160,Dokonjonosuke Mishima,Lightweight,976,3
161,Dan Christison,Heavyweight,1003,3
162,Shonie Carter,Welterweight,1024,7
163,Frank Trigg,Welterweight,990,8
164,Fabiano Scherner,Heavyweight,973,3
165,Keiichiro Yamamiya,Middleweight,987,2
166,Jason Black,Lightweight,951,3
167,Brian Gassaway,Welterweight,988,2
168,Katsuhisa Fujii,,1002,3
169,Trevor Prangley,Middleweight,1005,5
170,Frank Shamrock,Middleweight,1149,6
171,Jermaine Andre,Middleweight,976,2
172,Rafael Carino,,1025,2
173,Jason Fairn,,979,2
174,John Halverson,Lightweight,967,3
175,Anthony Perosh,Light Heavyweight,967,13
176,Crafton Wallace,Middleweight,965,3
177,David Baron,Lightweight,976,2
178,Reese Andy,Light Heavyweight,950,3
179,Travis Lutter,Middleweight,970,7
180,Steve Berger,Welterweight,971,4
181,Gideon Ray,Middleweight,944,4
182,Mostapha Al-Turk,Heavyweight,929,4
183,Sean Sherk,Lightweight,1109,13
184,Marcus Aurelio,Lightweight,959,7
185,Marcus Davis,Lightweight,1106,16
186,James Lee,Light Heavyweight,975,2
187,Matt Hughes,Welterweight,1260,26
188,Mark Hughes,Middleweight,1025,2
189,Semmy Schilt,Heavyweight,1003,3
190,Curtis Stout,Middleweight,961,3
191,Scott Adams,Heavyweight,1029,2
192,Allen Berube,Lightweight,976,2
193,Laverne Clark,Welterweight,1056,5
194,Wes Combs,Light Heavyweight,965,3
195,David Dodd,Middleweight,951,3
196,Bob Gilstrap,Middleweight,985,2
197,Pat Healy,Lightweight,909,7
198,Branden Lee Hinkle,Light Heavyweight,991,4
199,Jess Liaudin,Lightweight,983,6
200,Marcelo Mello,Lightweight,1025,2
201,Rudyard Moncayo,,975,2
202,Mario Neto,Heavyweight,986,2
203,Nate Schroeder,Heavyweight,978,2
204,Lodune Sincaid,Middleweight,987,2
205,Renato Verissimo,Welterweight,991,4
206,Paul Buentello,Heavyweight,1030,7
207,Jerry Bohlander,Middleweight,1102,8
208,Mikey Burnett,Lightweight,1038,4
209,Pedro Rizzo,Heavyweight,1092,15
210,Alex Andrade,Light Heavyweight,975,2
211,Dan Evensen,Heavyweight,953,3
212,Matt Serra,Welterweight,1041,15
213,Assuerio Silva,Heavyweight,951,4
214,Andy Anderson,Heavyweight,975,2
215,Tony DeSouza,Welterweight,1018,7
216,Dave Menne,Welterweight,978,7
217,Chris Lytle,Welterweight,998,21
218,Hermes Franca,Lightweight,1022,12
219,Mirko Filipovic,Heavyweight,980,12
220,Rich Franklin,Middleweight,1228,21
221,Akihiro Gono,Welterweight,991,4
222,Tom Murphy,Heavyweight,1025,2
223,Richie Hightower,Welterweight,975,2
224,John Kolosci,Welterweight,976,2
225,Jens Pulver,Featherweight,1096,10
226,Dante Rivera,Middleweight,975,2
227,Jason Brilz,Light Heavyweight,1001,8
228,Chris Condo,Heavyweight,975,2
229,Keigo Kunihara,Heavyweight,976,2
230,Kristof Midoux,Heavyweight,975,2
231,Wade Shipp,Heavyweight,975,2
232,Shane Carwin,Heavyweight,1073,7
233,Kalib Starnes,Middleweight,997,6
234,Tito Ortiz,Light Heavyweight,1091,28
235,Anderson Silva,Middleweight,1230,26
236,Jeff Joslin,Welterweight,987,2
237,Caol Uno,Featherweight,997,11
238,Cheick Kongo,Heavyweight,1119,19
239,Jason Lambert,Middleweight,1002,9
240,Jason MacDonald,Middleweight,960,15
241,Masutatsu Yano,,976,2
242,Yuki Kondo,Welterweight,992,4
243,Jason Von Flue,Welterweight,989,4
244,Hayato Sakurai,Welterweight,990,2
245,Jeremy Horn,Middleweight,974,14
246,Renato Sobral,Middleweight,1057,11
247,Forrest Petz,Welterweight,953,8
248,Keith Jardine,Light Heavyweight,1001,14
249,David Roberts,Lightweight,975,2
250,Dennis Hallman,Lightweight,989,10
251,Sean Daugherty,,976,2
252,Michihiro Omigawa,Featherweight,908,8
253,Samy Schiavo,Lightweight,953,3
254,Justin McCully,Heavyweight,1005,5
255,Dorian Price,Welterweight,976,2
256,Paul Rodriguez,Lightweight,976,2
