Cole Miller,1026,Jorge Gurgel,951,26.43752819461343
Justin Buchholz,1026,Corey Hill,951,26.43752819461343
Joe Stevenson,1001,Gleison Tibau,976,26.43752819461343
Melvin Guillard,1025,Dennis Siver,975,25.0
Gabriel Gonzaga,1050,Justin McCully,1000,25.0
Josh Koscheck,1027,Chris Lytle,1001,26.38014640179387
Matthew Riddle,1025,Dante Rivera,975,25.0
Kendall Grove,1025,Evan Tanner,975,25.0
Amir Sadollah,1028,CB Dollaway,1029,27.922374913163306
Diego Sanchez,1026,Luigi Fioravanti,1001,26.43752819461343
Spencer Fisher,1050,Jeremy Stephens,1000,25.0
Rob Kimmons,1002,Rob Yundt,976,26.38014640179387
Dean Lister,1001,Jeremy Horn,976,26.43752819461343
Drew McFedries,978,Marvin Eastman,978,27.865581688114638
Matt Brown,1026,Matt Arroyo,975,25.057564525591136
Dustin Hazelett,1053,Joshua Burkman,953,27.865581688114638
Fabricio Werdum,1001,Brandon Vera,976,26.43752819461343
Thales Leites,1050,Nate Marquardt,1000,25.0
Antoni Hardonk,1053,Eddie Sanchez,953,27.865581688114638
Michael Bisping,1051,Jason Day,976,26.43752819461343
Paul Taylor,1000,Jess Liaudin,950,25.0
Thiago Alves,1052,Matt Hughes,976,26.494894794630387
Kevin Burns,1030,Roan Carneiro,953,26.552245599820917
Martin Kampmann,1001,Jorge Rivera,976,26.43752819461343
Mike Swick,1050,Marcus Davis,1000,25.0
Luiz Cane,1053,Jason Lambert,954,27.808758476352434
Matt Wiman,1000,Thiago Tavares,950,25.0
Rousimar Palhares,1001,Ivan Salaverry,976,26.43752819461343
Shane Carwin,1051,Christian Wellisch,976,26.43752819461343
Rich Clementi,1003,Terry Etim,1003,27.865581688114638
BJ Penn,1026,Sean Sherk,1001,26.43752819461343
Goran Reljic,1028,Wilson Gouveia,1029,27.922374913163306
Dong Hyun Kim,1052,Jason Tan,976,26.494894794630387
Lyoto Machida,1025,Tito Ortiz,975,25.0
Rameau Thierry Sokoudjou,1001,Kazuhiro Nakamura,976,26.43752819461343
Wanderlei Silva,1003,Keith Jardine,1003,27.865581688114638
Thiago Silva,1025,Antonio Mendes,975,25.0
Yoshiyuki Yoshida,1001,War Machine,976,26.43752819461343
Georges St-Pierre,1051,Matt Serra,976,26.43752819461343
Jonathan Goulet,1001,Kuniyoshi Hironaka,976,26.43752819461343
Jason Day,1004,Alan Belcher,1003,27.808758476352434
Nate Quarry,1001,Kalib Starnes,976,26.43752819461343
Mac Danzig,1003,Mark Bocek,1003,27.865581688114638
Demian Maia,1080,Ed Herman,954,29.330793273122417
Michael Bisping,1079,Charles McCarthy,978,27.922374913163306
Rich Franklin,1052,Travis Lutter,976,26.494894794630387
Rich Clementi,1030,Sam Stout,952,26.60958000882759
Jason MacDonald,1003,Joe Doerksen,976,26.3227500188367
Cain Velasquez,1053,Brad Morris,953,27.865581688114638
Nate Diaz,1050,Kurt Pellegrino,1000,25.0
George Sotiropoulos,1025,Roman Mitichyan,975,25.0
Gray Maynard,1050,Frankie Edgar,1001,25.057564525591136
Thiago Alves,1080,Karo Parisyan,978,27.979137573487062
Anthony Johnson,1028,Tommy Speer,975,25.17269113521088
Matt Hamill,1027,Tim Boetsch,1001,26.38014640179387
Marcus Aurelio,978,Ryan Roberts,978,27.865581688114638
Josh Neer,1001,Din Thomas,976,26.43752819461343
Clay Guida,1053,Samy Schiavo,953,27.865581688114638
Manvel Gamburyan,1001,Jeff Cox,976,26.43752819461343
Kenny Florian,1077,Joe Lauzon,1001,26.494894794630387
James Irvin,1001,Houston Alexander,950,25.057564525591136
Diego Sanchez,1051,David Bielkheden,1000,25.057564525591136
Andrei Arlovski,1026,Jake O'Brien,951,26.43752819461343
Chris Leben,1003,Alessio Sakara,1003,27.865581688114638
Luigi Fioravanti,1027,Luke Cummo,952,26.43752819461343
Jon Fitch,1003,Chris Wilson,1004,27.922374913163306
Anderson Silva,1077,Dan Henderson,1001,26.494894794630387
